UnitTest,LoopOrder,TimeTaken(ms),Status
unit_1,ijk,266,Success
unit_1,ikj,167,Success
unit_1,jik,157,Success
unit_1,jki,149,Success
unit_1,kij,164,Success
unit_1,kji,152,Success
unit_10,ijk,278,Success
unit_10,ikj,165,Success
unit_10,jik,174,Success
unit_10,jki,169,Success
unit_10,kij,186,Success
unit_10,kji,176,Success
unit_11,ijk,312,Success
unit_11,ikj,169,Success
unit_11,jik,228,Success
unit_11,jki,218,Success
unit_11,kij,168,Success
unit_11,kji,188,Success
unit_12,ijk,244,Success
unit_12,ikj,187,Success
unit_12,jik,186,Success
unit_12,jki,220,Success
unit_12,kij,199,Success
unit_12,kji,207,Success
unit_13,ijk,359,Success
unit_13,ikj,212,Success
unit_13,jik,216,Success
unit_13,jki,211,Success
unit_13,kij,182,Success
unit_13,kji,211,Success
unit_14,ijk,459,Success
unit_14,ikj,173,Success
unit_14,jik,238,Success
unit_14,jki,226,Success
unit_14,kij,215,Success
unit_14,kji,225,Success
unit_15,ijk,371,Success
unit_15,ikj,237,Success
unit_15,jik,220,Success
unit_15,jki,218,Success
unit_15,kij,215,Success
unit_15,kji,256,Success
unit_16,ijk,399,Success
unit_16,ikj,230,Success
unit_16,jik,239,Success
unit_16,jki,262,Success
unit_16,kij,218,Success
unit_16,kji,261,Success
unit_17,ijk,379,Success
unit_17,ikj,236,Success
unit_17,jik,256,Success
unit_17,jki,274,Success
unit_17,kij,230,Success
unit_17,kji,285,Success
unit_18,ijk,403,Success
unit_18,ikj,261,Success
unit_18,jik,261,Success
unit_18,jki,262,Success
unit_18,kij,240,Success
unit_18,kji,286,Success
unit_19,ijk,420,Success
unit_19,ikj,272,Success
unit_19,jik,319,Success
unit_19,jki,324,Success
unit_19,kij,251,Success
unit_19,kji,289,Success
unit_2,ijk,168,Success
unit_2,ikj,155,Success
unit_2,jik,168,Success
unit_2,jki,165,Success
unit_2,kij,156,Success
unit_2,kji,160,Success
unit_20,ijk,470,Success
unit_20,ikj,306,Success
unit_20,jik,294,Success
unit_20,jki,327,Success
unit_20,kij,277,Success
unit_20,kji,345,Success
unit_21,ijk,392,Success
unit_21,ikj,291,Success
unit_21,jik,349,Success
unit_21,jki,414,Success
unit_21,kij,293,Success
unit_21,kji,420,Success
unit_22,ijk,747,Success
unit_22,ikj,326,Success
unit_22,jik,376,Success
unit_22,jki,467,Success
unit_22,kij,300,Success
unit_22,kji,481,Success
unit_23,ijk,485,Success
unit_23,ikj,328,Success
unit_23,jik,336,Success
unit_23,jki,442,Success
unit_23,kij,371,Success
unit_23,kji,464,Success
unit_24,ijk,488,Success
unit_24,ikj,342,Success
unit_24,jik,375,Success
unit_24,jki,535,Success
unit_24,kij,463,Success
unit_24,kji,559,Success
unit_25,ijk,571,Success
unit_25,ikj,419,Success
unit_25,jik,489,Success
unit_25,jki,581,Success
unit_25,kij,480,Success
unit_25,kji,656,Success
unit_26,ijk,603,Success
unit_26,ikj,451,Success
unit_26,jik,462,Success
unit_26,jki,547,Success
unit_26,kij,371,Success
unit_26,kji,544,Success
unit_27,ijk,578,Success
unit_27,ikj,421,Success
unit_27,jik,531,Success
unit_27,jki,579,Success
unit_27,kij,434,Success
unit_27,kji,543,Success
unit_3,ijk,198,Success
unit_3,ikj,136,Success
unit_3,jik,131,Success
unit_3,jki,122,Success
unit_3,kij,131,Success
unit_3,kji,138,Success
unit_4,ijk,240,Success
unit_4,ikj,182,Success
unit_4,jik,168,Success
unit_4,jki,140,Success
unit_4,kij,170,Success
unit_4,kji,163,Success
unit_5,ijk,247,Success
unit_5,ikj,156,Success
unit_5,jik,161,Success
unit_5,jki,144,Success
unit_5,kij,152,Success
unit_5,kji,119,Success
unit_6,ijk,222,Success
unit_6,ikj,155,Success
unit_6,jik,191,Success
unit_6,jki,172,Success
unit_6,kij,181,Success
unit_6,kji,191,Success
unit_7,ijk,225,Success
unit_7,ikj,149,Success
unit_7,jik,173,Success
unit_7,jki,150,Success
unit_7,kij,166,Success
unit_7,kji,165,Success
unit_8,ijk,263,Success
unit_8,ikj,175,Success
unit_8,jik,158,Success
unit_8,jki,139,Success
unit_8,kij,145,Success
unit_8,kji,143,Success
unit_9,ijk,231,Success
unit_9,ikj,186,Success
unit_9,jik,193,Success
unit_9,jki,183,Success
unit_9,kij,184,Success
unit_9,kji,140,Success
